# ----------------------------------------
# 0 | GLOBAL | ALL
# Manual Campaign Name + CFS-DE Dealer Submits
# 20250301-20250531
# ----------------------------------------

,Event name,carsales_dealercontactsubmitted_oph,xcc_dealercontactsubmitted_oph,Totals
country,Manual campaign name,Sessions,Sessions,Sessions
DE,DIET_PO_RANGE_XXX_REC_OTH_AO-SEA_23_B-MODELS-MACAN-MODELS-MACAN-BENL-ACQ-NRT,1,0,1
DE,DIET_PO_RANGE_XXX_REC_OTH_AO-SEA_23_B-RANGE-PUREBRAND-BEFR-EXACT-ACQ-NRT-DEALERS-RADIUS-BRUSSELS,1,0,1
DE,DIET_PO_RANGE_XXX_REC_OTH_AO-SEA_23_B-RANGE-SECONDHAND-BEFR-ACQ-NRT,1,0,1
DE,FR_FRE_SR-E_GO_AC_AWOP_PE_PMAXSH__NU_NU_AWO,1,0,1
DE,IT_ITA_SR-E_GO_AC_AWOP_PE_PMAXSH__NU_NU_AWO,1,0,1
DE,MERGE_DE_GER_SR-E_BI_AC_AWOP_PE_SN_BraKoLuggage_NU_NU_AWO,1,0,1
DE,PORSCHE-ONG-FINDER-PR-TXT-BR-cayenne,1,0,1
DE,PORSCHE-VO-APPROVED-NEW,1,0,1
DE,PZ_Aachen,1,0,1
DE,PZ_Gilching-Argelsried,1,0,1
DE,PZ_Göppingen,1,0,1
DE,PZ_Hamburg,1,0,1
DE,PZ_Hofheim/Taunus,1,0,1
DE,PZ_Weingarten,1,0,1
DE,_seafinder_,1,0,1

