market,model,channel,week,icc_dcfs,model_dcfs,finder_dcfs,dcfs,spend
GERMANY,911,Paid Search,2025-33,0.5,nan,nan,0.5,244.63
GERMANY,none,Paid Search,2025-33,10.0,nan,nan,10.0,1046.61
GERMANY,macan,Paid Search,2025-34,2.75,nan,nan,2.75,4566.31
GERMANY,cayenne,Paid Search,2025-34,4.05,nan,nan,4.05,2157.26
GERMANY,taycan,Paid Search,2025-34,1.84,nan,nan,1.84,2639.7
GERMANY,panamera,Paid Search,2025-34,1.0,nan,nan,1.0,111.85
GERMANY,911,Paid Search,2025-34,2.0,nan,nan,2.0,238.82
GERMANY,none,Paid Search,2025-34,11.15,nan,nan,11.15,1030.51
GERMANY,macan,Paid Search,2025-35,13.51,nan,nan,13.51,4348.51
GERMANY,cayenne,Paid Search,2025-35,2.0,nan,nan,2.0,1964.56
GERMANY,taycan,Paid Search,2025-35,1.25,nan,nan,1.25,2563.34
GERMANY,panamera,Paid Search,2025-35,3.0,nan,nan,3.0,132.29
GERMANY,911,Paid Search,2025-35,0.0,nan,nan,0.0,221.93
GERMANY,none,Paid Search,2025-35,12.079999999999998,nan,nan,12.079999999999998,944.12
GERMANY,macan,Paid Search,2025-36,8.0,nan,nan,8.0,4939.69
GERMANY,cayenne,Paid Search,2025-36,4.0,nan,nan,4.0,3850.27
GERMANY,taycan,Paid Search,2025-36,1.94,nan,nan,1.94,3035.28
GERMANY,panamera,Paid Search,2025-36,0.0,nan,nan,0.0,407.36
GERMANY,911,Paid Search,2025-36,0.0,nan,nan,0.0,441.3
GERMANY,none,Paid Search,2025-36,21.39,nan,nan,21.39,1984.54
GERMANY,macan,Paid Search,2025-37,4.390000000000001,nan,nan,4.390000000000001,4907.2
GERMANY,cayenne,Paid Search,2025-37,2.08,nan,nan,2.08,3051.52
GERMANY,taycan,Paid Search,2025-37,3.0,nan,nan,3.0,2847.07
GERMANY,panamera,Paid Search,2025-37,nan,nan,nan,nan,377.95
GERMANY,911,Paid Search,2025-37,1.0,nan,nan,1.0,344.2
GERMANY,none,Paid Search,2025-37,11.66,nan,nan,11.66,1381.89
GERMANY,macan,Paid Search,2025-38,4.88,nan,nan,4.88,4852.59
GERMANY,cayenne,Paid Search,2025-38,4.140000000000001,nan,nan,4.140000000000001,1258.75
GERMANY,taycan,Paid Search,2025-38,9.78,nan,nan,9.78,2784.21
GERMANY,panamera,Paid Search,2025-38,nan,nan,nan,nan,123.3
GERMANY,911,Paid Search,2025-38,1.0,nan,nan,1.0,122.99
GERMANY,none,Paid Search,2025-38,5.0,nan,nan,5.0,525.57
GERMANY,macan,Paid Search,2025-39,7.5,nan,nan,7.5,4613.99
GERMANY,cayenne,Paid Search,2025-39,3.25,nan,nan,3.25,1107.89
GERMANY,taycan,Paid Search,2025-39,6.33,nan,nan,6.33,2677.1
GERMANY,panamera,Paid Search,2025-39,nan,nan,nan,nan,122.4
GERMANY,911,Paid Search,2025-39,2.0,nan,nan,2.0,122.25
GERMANY,none,Paid Search,2025-39,1.96,nan,nan,1.96,520.45
GERMANY,macan,Paid Search,2025-40,12.99,nan,nan,12.99,4699.93
GERMANY,cayenne,Paid Search,2025-40,4.0,nan,nan,4.0,1920.24
GERMANY,taycan,Paid Search,2025-40,8.01,nan,nan,8.01,3132.27
GERMANY,panamera,Paid Search,2025-40,1.0,nan,nan,1.0,219.69
GERMANY,911,Paid Search,2025-40,nan,nan,nan,nan,228.73
GERMANY,none,Paid Search,2025-40,2.33,nan,nan,2.33,947.43
GERMANY,macan,Paid Search,2025-41,8.0,nan,nan,8.0,4739.45
GERMANY,cayenne,Paid Search,2025-41,1.0,nan,nan,1.0,2267.16
GERMANY,taycan,Paid Search,2025-41,7.06,nan,nan,7.06,3642.19
GERMANY,panamera,Paid Search,2025-41,2.0,nan,nan,2.0,251.89
GERMANY,911,Paid Search,2025-41,1.0,nan,nan,1.0,246.63
