market,channel,week,icc_dcfs,sessions,spend
GERMANY,Paid Search,2025-06,11.0,,43205.45458400001
GERMANY,Paid Search,2025-07,11.0,,39602.503012
GERMANY,Paid Search,2025-08,10.0,,40521.54242299999
GERMANY,Paid Search,2025-09,9.0,,34864.919352
GERMANY,Paid Search,2025-10,6.0,,37049.596465
GERMANY,Paid Search,2025-11,10.0,,35095.056522
GERMANY,Paid Search,2025-12,12.0,,35638.003989000004
GERMANY,Paid Search,2025-13,8.0,,32271.742279000002
GERMANY,Paid Search,2025-14,20.0,,35480.739483000005
GERMANY,Paid Search,2025-15,1.0,,37120.967655
GERMANY,Paid Search,2025-16,7.0,,26794.073156000002
GERMANY,Paid Search,2025-17,1.0,,26062.322323999997
GERMANY,Paid Search,2025-18,7.0,,25161.012615
GERMANY,Paid Search,2025-19,6.0,,26480.516261999997
GERMANY,Paid Search,2025-20,11.0,,26887.288623
GERMANY,Paid Search,2025-21,8.0,,26284.439448000005
GERMANY,Paid Search,2025-22,10.0,,24457.077099
GERMANY,Paid Search,2025-23,13.0,,26704.053720999997
GERMANY,Paid Search,2025-24,8.0,,37131.678908999995
GERMANY,Paid Search,2025-25,2.0,,44778.613382
GERMANY,Paid Search,2025-26,8.0,,40917.418418
GERMANY,Paid Search,2025-27,7.0,,42139.526266
GERMANY,Paid Search,2025-28,9.0,,34689.148151
GERMANY,Paid Search,2025-29,12.0,,42593.463423
GERMANY,Paid Search,2025-30,9.0,,37512.294777
GERMANY,Paid Search,2025-31,14.0,,33640.203345
GERMANY,Paid Search,2025-32,11.0,,36807.771083
GERMANY,Paid Search,2025-33,4.0,,35983.578330000004
GERMANY,Paid Search,2025-34,7.0,,36855.108426
GERMANY,Paid Search,2025-35,9.0,,35036.013826
GERMANY,Paid Search,2025-36,14.0,,49540.432443
GERMANY,Paid Search,2025-37,7.0,,43354.346948000006
GERMANY,Paid Search,2025-38,13.0,,34203.905002
GERMANY,Paid Search,2025-39,7.0,,33580.242833
GERMANY,Paid Search,2025-40,14.0,,42591.460451
GERMANY,Paid Search,2025-41,4.0,,46936.825527999994
GERMANY,Paid Search,2025-42,10.0,,44886.003409000004
GERMANY,Paid Search,2025-43,13.0,,44312.684323
GERMANY,Paid Search,2025-44,4.0,,49128.41221699999
GERMANY,Paid Search,2025-45,9.0,,62826.610568000004
GERMANY,Paid Search,2025-46,5.0,,61232.763938000004
GERMANY,Paid Search,2025-47,22.0,,66078.20589400001
GERMANY,Paid Search,2025-48,15.0,,72687.558582
GERMANY,Paid Search,2025-49,15.0,,81734.38314199999
GERMANY,Paid Search,2025-50,10.0,,80960.179004
GERMANY,Paid Search,2025-51,18.0,,80426.33702700002
GERMANY,Paid Search,2025-52,12.0,,74399.3197
GERMANY,Paid Search,2026-01,3.0,,29520.863406
GERMANY,Paid Social,2025-01,0.0,,760.91
GERMANY,Paid Social,2025-02,0.0,,1885.7999999999997
GERMANY,Paid Social,2025-03,0.0,,1894.0299999999997
GERMANY,Paid Social,2025-04,0.0,,1950.96
GERMANY,Paid Social,2025-05,0.0,,1901.17
GERMANY,Paid Social,2025-06,0.0,,1935.5500000000002
GERMANY,Paid Social,2025-07,0.0,,1942.26
GERMANY,Paid Social,2025-08,0.0,,1927.3300000000002
GERMANY,Paid Social,2025-09,0.0,,1918.02
GERMANY,Paid Social,2025-10,0.0,,7143.89
GERMANY,Paid Social,2025-11,0.0,,9793.33
GERMANY,Paid Social,2025-12,0.0,,10453.86
GERMANY,Paid Social,2025-13,0.0,,10410.55
GERMANY,Paid Social,2025-14,0.0,,8866.07
GERMANY,Paid Social,2025-15,0.0,,13622.919999999998
GERMANY,Paid Social,2025-16,0.0,,13565.039999999999
GERMANY,Paid Social,2025-17,0.0,,13482.78
GERMANY,Paid Social,2025-18,0.0,,8833.79
GERMANY,Paid Social,2025-19,0.0,,6473.26
GERMANY,Paid Social,2025-20,0.0,,6563.21
GERMANY,Paid Social,2025-21,0.0,,7164.490000000001
GERMANY,Paid Social,2025-22,0.0,,7069.68
GERMANY,Paid Social,2025-23,0.0,,8901.789999999999
GERMANY,Paid Social,2025-24,0.0,,19561.05
GERMANY,Paid Social,2025-25,0.0,,14175.76
GERMANY,Paid Social,2025-26,0.0,,14693.69
GERMANY,Paid Social,2025-27,0.0,,16907.239999999998
GERMANY,Paid Social,2025-28,0.0,,16495.55
GERMANY,Paid Social,2025-29,0.0,,28992.309999999998
GERMANY,Paid Social,2025-30,0.0,,22156.809999999998
GERMANY,Paid Social,2025-31,0.0,,34628.46
GERMANY,Paid Social,2025-32,0.0,,37872.73
GERMANY,Paid Social,2025-33,0.0,,48136.8
GERMANY,Paid Social,2025-34,0.0,,31865.69
GERMANY,Paid Social,2025-35,0.0,,28230.479999999996
GERMANY,Paid Social,2025-36,0.0,,19285.179999999997
GERMANY,Paid Social,2025-37,0.0,,16875.5
GERMANY,Paid Social,2025-38,0.0,,19380.21
GERMANY,Paid Social,2025-39,0.0,,28579.589999999997
GERMANY,Paid Social,2025-40,0.0,,11157.700000000004
GERMANY,Paid Social,2025-41,1.0,,5899.080000000001
GERMANY,Paid Social,2025-42,0.0,,11378.56
GERMANY,Paid Social,2025-43,1.0,,15050.18
GERMANY,Paid Social,2025-44,1.0,,18245.12
GERMANY,Paid Social,2025-45,2.0,,17101.14
GERMANY,Paid Social,2025-46,2.0,,43364.86
GERMANY,Paid Social,2025-47,0.0,,47677.100000000006
